Company,"Cocoa
Neuhaus (Callebaut),70%,2.5,,
Neuhaus (Callebaut),67%,3.75,,
Neuhaus (Callebaut),73%,1,,
Neuhaus (Callebaut),73%,2,,
Neuhaus (Callebaut),75%,2.75,,
Neuhaus (Callebaut),71%,3,,
Nibble,72%,2.25,,
Nibble,72%,2.75,,
Nibble,72%,3,,
Nibble,72%,3,,
Night Owl,75%,2.75,,
Night Owl,75%,3.5,,
Noble Bean aka Jerjobo,75%,3,,
Noble Bean aka Jerjobo,75%,3,,
Noble Bean aka Jerjobo,75%,3.25,,
Noir d' Ebine,70%,3,,
Noir d' Ebine,70%,3,,
Nova Monda,70%,3,,
Nova Monda,75%,2.75,,
Nova Monda,80%,3.25,,
Nuance,70%,3.75,,
Nuance,70%,2.75,,
Nuance,70%,3,,
Nuance,70%,3.5,,
Nuance,70%,3.75,,
Nugali,70%,3.5,,
Oakland Chocolate Co.,70%,2.5,,
Obolo,70%,3.75,,
Obolo,70%,3.75,,
Ocelot,70%,3.75,,
Ocelot,75%,4,,
Ocho,100%,2.75,,
Ocho,70%,3.5,,
Ocho,66%,2.75,,
Ocho,70%,3,,
Ocho,88%,3.25,,
Ocho,74%,3.5,,
Ohiyo,70%,2.75,,
Ohiyo,70%,3,,
Oialla by Bojessen (Malmo),70%,3.5,,
Olive and Sinclair,72%,3,,
Olive and Sinclair,72%,3,,
Olive and Sinclair,67%,2.75,,
Olive and Sinclair,75%,3,,
Olivia,76%,2,,
Olivia,76%,2.75,,
Olivia,85%,2.75,,
Olivia,85%,3,,
Omanhene,80%,2.75,,
Omnom,70%,3.75,,
Omnom,70%,3,,
Omnom,66%,3.5,,
organicfair,74%,2.75,,
organicfair,72%,2.75,,
organicfair,72%,2.75,,
organicfair,72%,3,,
organicfair,72%,3,,
Original Beans (Felchlin),68%,2.75,,
Original Beans (Felchlin),80%,3.25,,
Original Beans (Felchlin),66%,3.75,,
Original Beans (Felchlin),70%,3,,
Original Beans (Felchlin),75%,3,,
Original Beans (Felchlin),68%,3.25,,
Original Hawaiin Chocolate Factory,60%,3,,
Original Hawaiin Chocolate Factory,60%,3,,
Orquidea,65%,3,,
Orquidea,72%,3,,
Pacari,70%,4,,
Pacari,70%,3.25,,
Pacari,70%,3.5,,
Pacari,70%,3.75,,
Pacari,70%,4,,
Pacari,85%,2.75,,
Pacari,70%,4,,
Pacari,70%,3.5,,
Pacari,60%,2.5,,
Pacari,65%,2.75,,
Pacari,72%,3,,
Pacari,100%,2,,
Pacari,70%,3.5,,
Palette de Bine,70%,2.75,,
Palette de Bine,72%,3,,
Palette de Bine,70%,3.25,,
Palette de Bine,70%,3.25,,
Palette de Bine,72%,3.5,,
Palette de Bine,72%,3.75,,
Palette de Bine,72%,2.75,,
Palette de Bine,78%,3.75,,
Palette de Bine,75%,2.75,,
Palette de Bine,75%,3.5,,
Palette de Bine,70%,3.75,,
Pangea,76%,3,,
Park 75,65%,3.5,,
Parliament,70%,3.25,,
Parliament,70%,3.5,,
Parliament,70%,3,,
Parliament,70%,3.5,,
Pascha,55%,2.5,,
Pascha,70%,2.75,,
Patric,70%,3.75,,
Patric,75%,4,,
Patric,67%,3.5,,
Patric,70%,3.5,,
Patric,70%,4,,
Patric,67%,4,,
Paul Young,73%,2.25,,
Paul Young,64%,2.75,,
Peppalo,82%,3,,
Pierre Marcolini,70%,3.25,,
Pierre Marcolini,75%,3,,
Pierre Marcolini,75%,3.25,,
Pierre Marcolini,78%,3.75,,
Pierre Marcolini,85%,3,,
Pierre Marcolini,72%,3,,
Pierre Marcolini,72%,3,,
Pierre Marcolini,70%,4,,
Pierre Marcolini,72%,3.75,,
Pierre Marcolini,72%,4,,
Pierre Marcolini,85%,3.5,,
Pierre Marcolini,72%,4,,
Pierre Marcolini,72%,3,,
Pierre Marcolini,72%,4,,
Pinellas,80%,2.5,,
Pitch Dark,62%,2.5,,
Pitch Dark,80%,2.75,,
Pitch Dark,80%,2.75,,
Pitch Dark,80%,2.75,,
Pitch Dark,80%,3.25,,
Pitch Dark,73%,3.25,,
Pitch Dark,73%,2.5,,
Pitch Dark,73%,3.25,,
Pitch Dark,73%,3.5,,
Pomm (aka Dead Dog),76%,2.5,,
Pomm (aka Dead Dog),82%,2.75,,
Potomac,70%,3.75,,
Potomac,70%,3.75,,
Potomac,70%,3.5,,
Potomac,70%,3,,
Potomac,70%,2.75,,
Potomac,70%,3.5,,
Potomac,82%,3.75,,
Pralus,75%,3.25,,
Pralus,75%,3.25,,
Pralus,75%,3.5,,
Pralus,75%,2,,
Pralus,75%,3,,
Pralus,100%,3,,
Pralus,75%,2,,
Pralus,75%,3.5,,
Pralus,75%,4,,
Pralus,75%,3,,
Pralus,75%,3.5,,
Pralus,75%,3.5,,
Pralus,75%,3.5,,
Pralus,75%,3.75,,
Pralus,75%,3.5,,
Pralus,75%,3.5,,
Pralus,75%,4,,
Pralus,75%,3,,
Pralus,75%,3,,
Pralus,75%,3.25,,
Pralus,75%,3.5,,
Pralus,80%,4,,
Pralus,75%,3,,
Pralus,75%,3,,
Pralus,75%,3.5,,
Pump Street Bakery,77%,3.5,,
Pump Street Bakery,70%,3.5,,
Pump Street Bakery,74%,3.5,,
Pump Street Bakery,80%,2.75,,
Pump Street Bakery,75%,2.75,,
Pump Street Bakery,75%,3,,
Pump Street Bakery,72%,3.25,,
Pump Street Bakery,85%,2.75,,
Pura Delizia,73%,2.75,,
Q Chocolate,75%,3.25,,
Q Chocolate,85%,3.5,,
Q Chocolate,55%,2.75,,
Q Chocolate,80%,3.25,,
Q Chocolate,60%,3,,
Q Chocolate,65%,3.25,,
Quetzalli (Wolter),70%,2.75,,
Quetzalli (Wolter),74%,3,,
Raaka,70%,3,,
Raaka,75%,2.75,,
Raaka,75%,3.25,,
Raaka,85%,3.5,,
Rain Republic,70%,2.75,,
Rancho San Jacinto,75%,3,,
Ranger,70%,2.5,,
Ranger,80%,3.25,,
Ranger,73%,3.5,,
Raoul Boulanger,75%,3.25,,
Raw Cocoa,70%,2.5,,
Republica del Cacao (aka Confecta),75%,3.25,,
Republica del Cacao (aka Confecta),75%,2.5,,
Republica del Cacao (aka Confecta),75%,3,,
Republica del Cacao (aka Confecta),67%,3.5,,
Republica del Cacao (aka Confecta),75%,3.75,,
Ritual,75%,3.75,,
Ritual,85%,3.5,,
Ritual,70%,3.5,,
Ritual,75%,3.75,,
Ritual,75%,3,,
Ritual,75%,4,,
Ritual,75%,3.25,,
Ritual,75%,3.5,,
Ritual,75%,3.5,,
Roasting Masters,70%,3.25,,
Roasting Masters,70%,3.25,,
Roasting Masters,70%,3.25,,
Robert (aka Chocolaterie Robert),75%,3.25,,
Robert (aka Chocolaterie Robert),68%,3.25,,
Rococo (Grenada Chocolate Co.),66%,3.5,,
Rogue,75%,3.75,,
Rogue,70%,3.75,,
Rogue,75%,3.25,,
Rogue,80%,3.75,,
Rogue,70%,3.5,,
Rogue,70%,3.5,,
Rogue,75%,4,,
Rogue,75%,3.75,,
Rogue,75%,3.75,,
Rogue,75%,3,,
Rogue,75%,3.75,,
Rogue,70%,3.5,,
Rogue,70%,2.75,,
Rogue,70%,2.75,,
Rogue,70%,2.75,,
Rogue,70%,3,,
Rozsavolgyi,84%,2.5,,
Rozsavolgyi,76%,2.25,,
Rozsavolgyi,72%,2.5,,
Rozsavolgyi,73%,3.5,,
Rozsavolgyi,71%,2.5,,
Rozsavolgyi,70%,3.5,,
Rozsavolgyi,77%,2.75,,
S.A.I.D.,64%,3.5,,
S.A.I.D.,100%,1.5,,
S.A.I.D.,70%,3,,
S.A.I.D.,72%,3.5,,
S.A.I.D.,72%,3.5,,
Sacred,83%,2.75,,
Sacred,69%,3.25,,
Salgado,70%,3.5,,
Salgado,70%,3.5,,
Salgado,70%,3.5,,
Salgado,70%,3.5,,
Santander (Compania Nacional),75%,2.75,,
Santander (Compania Nacional),70%,3,,
Santander (Compania Nacional),53%,2,,
Santander (Compania Nacional),65%,3,,
Santander (Compania Nacional),70%,4,,
Santome,70%,2.75,,
Scharffen Berger,78%,4,,
Scharffen Berger,68%,3.75,,
Scharffen Berger,68%,3.5,,
Scharffen Berger,65%,3.75,,
Scharffen Berger,68%,3.75,,
Scharffen Berger,65%,4,,
Scharffen Berger,72%,3.75,,
Scharffen Berger,72%,3,,
Scharffen Berger,72%,3,,
Scharffen Berger,62%,3,,
Scharffen Berger,75%,3.75,,
Scharffen Berger,75%,3,,
Scharffen Berger,82%,2,,
Scharffen Berger,70%,3.5,,
Scharffen Berger,68%,2,,
Scharffen Berger,70%,2,,
Scharffen Berger,62%,3,,
Seaforth,70%,2.75,,
Seaforth,70%,2.75,,
Shark Mountain,72%,3.25,,
Shark Mountain,73%,3.5,,
Shark Mountain,77%,2.75,,
Shark Mountain,74%,3.5,,
Shark Mountain,75%,3,,
Shark Mountain,72%,3.25,,
Shark's,73%,2,,
Shark's,73%,2.5,,
Shattel,70%,3.25,,
Shattell,75%,3.5,,
Sibu,82%,3.25,,
Sibu,70%,3.5,,
Sibu Sura,70%,2.5,,
Silvio Bessone,67%,3,,
Silvio Bessone,65%,3.25,,
Silvio Bessone,60%,3.25,,
Silvio Bessone,68%,3,,
Sirene,73%,3.5,,
Sirene,73%,3.5,,
Sirene,73%,3.75,,
Sirene,100%,3,,
Sirene,100%,3,,
Sirene,73%,3,,
Sirene,73%,3.25,,
Sirene,73%,3.25,,
Sirene,67%,3.75,,
Sirene,73%,3.75,,
Sirene,73%,3.75,,
Sjolinds,70%,2.75,,
Sjolinds,72%,3,,
"Smooth Chocolator, The",70%,3.5,,
"Smooth Chocolator, The",70%,3.75,,
"Smooth Chocolator, The",70%,4,,
"Smooth Chocolator, The",70%,3.75,,
"Smooth Chocolator, The",70%,3,,
"Smooth Chocolator, The",67%,3.75,,
"Smooth Chocolator, The",70%,3.25,,
"Smooth Chocolator, The",65%,3.25,,
"Smooth Chocolator, The",70%,3.5,,
"Smooth Chocolator, The",67%,3.75,,
"Smooth Chocolator, The",70%,3.75,,
"Smooth Chocolator, The",72%,4,,
"Smooth Chocolator, The",72%,2.75,,
"Smooth Chocolator, The",65%,3.5,,
"Smooth Chocolator, The",67%,3,,
"Smooth Chocolator, The",70%,3.75,,
Snake & Butterfly,67%,1.5,,
Snake & Butterfly,68%,3,,
Snake & Butterfly,68%,3.25,,
Sol Cacao,70%,3.5,,
Sol Cacao,72%,3,,
Solkiki,68%,2.75,,
Solkiki,85%,2.75,,
Solomons Gold,70%,3.25,,
Solomons Gold,75%,3.25,,
Solstice,70%,3,,
Solstice,70%,3,,
Solstice,70%,3,,
Solstice,70%,3.25,,
Solstice,70%,3.25,,
Solstice,70%,3.5,,
Soma,62%,3.5,,
Soma,70%,3.5,,
Soma,70%,3.5,,
Soma,75%,3.75,,
Soma,70%,3.75,,
Soma,70%,4,,
Soma,70%,3.25,,
Soma,70%,3.5,,
Soma,75%,4,,
Soma,70%,3.5,,
Soma,70%,3.75,,
Soma,70%,3.25,,
Soma,80%,3.5,,
Soma,70%,3.75,,
Soma,70%,3.25,,
Soma,77%,3.75,,
Soma,70%,3.25,,
Soma,70%,2.75,,
Soma,70%,3.75,,
Soma,70%,3.25,,
Soma,70%,3.75,,
Soma,88%,4,,
Soma,70%,4,,
Soma,67%,4,,
Soma,70%,3.25,,
Soma,70%,4,,
Soma,70%,3.25,,
Soma,70%,3.75,,
Soma,70%,4,,
Soma,70%,4,,
Soma,70%,3.5,,
Soma,70%,3.75,,
Soma,70%,3.5,,
Soma,85%,3.5,,
Soma,70%,2.75,,
Soma,70%,3.5,,
Soma,64%,4,,
Soma,70%,4,,
Soma,70%,3.75,,
Soma,70%,3.5,,
Soma,70%,3.75,,
Soma,70%,3,,
Soma,70%,3.5,,
Soma,70%,3,,
Soma,70%,3.5,,
Soma,70%,3.75,,
Soma,70%,3.75,,
Somerville,70%,3.25,,
Somerville,70%,3.5,,
Soul,70%,3.25,,
Soul,70%,3.5,,
Soul,75%,3.5,,
Soul,75%,3.25,,
Soul,77%,3.25,,
Soul,80%,3.5,,
Spagnvola,70%,3,,
Spagnvola,80%,3,,
Spagnvola,75%,3.25,,
Spencer,70%,3.75,,
Spencer,70%,3.5,,
Spencer,70%,2.75,,
Spencer,70%,3.5,,
Spencer,70%,3.75,,
Spencer,70%,3.75,,
Spencer,72%,2.75,,
Sprungli (Felchlin),70%,3,,
SRSLY,70%,3,,
SRSLY,84%,2.25,,
Starchild,70%,3,,
Starchild,70%,3,,
Starchild,70%,3,,
Starchild,70%,3,,
Starchild,70%,3,,
Stella (aka Bernrain),68%,2.75,,
Stella (aka Bernrain),72%,3.25,,
Stone Grindz,84%,3.5,,
Stone Grindz,70%,3.5,,
StRita Supreme,65%,2.5,,
StRita Supreme,70%,2.5,,
StRita Supreme,75%,2.75,,
Sublime Origins,67%,2.75,,
Sublime Origins,78%,3.25,,
Summerbird,61%,2.5,,
Summerbird,71%,3,,
Suruca Chocolate,70%,2.75,,
Suruca Chocolate,60%,3,,
Svenska Kakaobolaget,70%,2.75,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,88%,3.25,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,70%,3.75,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,70%,3.5,,
Szanto Tibor,70%,3.5,,
Szanto Tibor,70%,3.75,,
Szanto Tibor,70%,3.5,,
Szanto Tibor,70%,3.5,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,70%,3.25,,
Szanto Tibor,70%,3.75,,
Szanto Tibor,70%,3,,
Tabal,70%,2.75,,
Tabal,70%,2.75,,
Tabal,70%,2.5,,
Tabal,70%,3,,
Tablette (aka Vanillabeans),70%,3,,
Tablette (aka Vanillabeans),62%,3.25,,
Tablette (aka Vanillabeans),60%,3.25,,
Tablette (aka Vanillabeans),77%,2.75,,
Tan Ban Skrati,70%,3.25,,
Taza,68%,3,,
Taza,87%,3.25,,
Taza,75%,2.75,,
Taza,70%,3,,
TCHO,62%,2,,
TCHO,99%,3.25,,
TCHO,60%,2.75,,
TCHO,68%,3,,
TCHO,70%,2.5,,
TCHO,70%,2.5,,
TCHO,70%,2.75,,
TCHO,70%,2.5,,
Tejas,70%,2.75,,
Tejas,70%,3,,
Tejas,70%,3,,
Tejas,70%,3.5,,
Tejas,70%,3.25,,
Tejas,70%,2,,
Tejas,70%,3.25,,
Tejas,70%,2.75,,
Tejas,70%,3,,
Tejas,70%,3.25,,
Tejas,70%,2.75,,
Tejas,80%,3,,
Tejas,67%,3.25,,
Tejas,70%,3.5,,
Terroir,70%,2.75,,
Terroir,70%,3.75,,
Terroir,70%,3.75,,
Terroir,70%,3.25,,
Terroir,70%,3.5,,
Terroir,70%,3.75,,
Terroir,77%,3.25,,
Terroir,67%,3.75,,
Terroir,73%,3.75,,
The Barn,70%,3,,
Theo,65%,3.25,,
Theo,65%,3.5,,
Theo,75%,2.5,,
Theo,84%,3,,
Theo,91%,2,,
Theo,75%,3,,
Theobroma,70%,3.25,,
Timo A. Meyer,72%,3.75,,
To'ak (Ecuatoriana),81%,3.25,,
Tobago Estate (Pralus),70%,4,,
Tocoti,77%,3,,
Tocoti,72%,2.75,,
Tocoti,74%,3,,
Treehouse,72%,3,,
Tsara (Cinagra),72%,3.5,,
twenty-four blackbirds,75%,2.75,,
twenty-four blackbirds,75%,3.5,,
twenty-four blackbirds,75%,3.5,,
twenty-four blackbirds,68%,3.25,,
twenty-four blackbirds,75%,2.5,,
twenty-four blackbirds,73%,2.75,,
Two Ravens,60%,3,,
Un Dimanche A Paris,63%,3.75,,
Undone,74%,2.75,,
Undone,70%,3,,
Upchurch,72%,3,,
Upchurch,72%,3.25,,
Urzi,65%,3.25,,
Valrhona,63%,4,,
Valrhona,70%,3.5,,
Valrhona,64%,3.5,,
Valrhona,69%,4,,
Valrhona,56%,3.25,,
Valrhona,64%,4,,
Valrhona,64%,3.75,,
Valrhona,66%,3.75,,
Valrhona,68%,3.5,,
Valrhona,72%,3,,
Valrhona,65%,3.75,,
Valrhona,64%,4,,
Valrhona,85%,1.5,,
Valrhona,85%,2.5,,
Valrhona,71%,2.75,,
Valrhona,64%,3.25,,
Valrhona,66%,3,,
Valrhona,70%,4,,
Valrhona,64%,2.5,,
Valrhona,64%,3,,
Valrhona,64%,3.5,,
Vanleer (Barry Callebaut),72%,2.5,,
Vanleer (Barry Callebaut),65%,2.75,,
Vao Vao (Chocolaterie Robert),72%,2.75,,
Vao Vao (Chocolaterie Robert),76%,2.75,,
Vao Vao (Chocolaterie Robert),80%,2.75,,
Vao Vao (Chocolaterie Robert),70%,3,,
Vao Vao (Chocolaterie Robert),68%,3,,
Vao Vao (Chocolaterie Robert),64%,3.25,,
Vicuna,70%,3.25,,
Vicuna,70%,3.25,,
Videri,90%,3.25,,
Videri,75%,3.5,,
Videri,75%,3.5,,
Videri,90%,3.75,,
Videri,70%,3.25,,
Vietcacao (A. Morin),70%,3.5,,
Vintage Plantations,75%,3,,
Vintage Plantations (Tulicorp),100%,2,,
Vintage Plantations (Tulicorp),90%,2,,
Vintage Plantations (Tulicorp),75%,3,,
Vintage Plantations (Tulicorp),65%,3,,
Violet Sky,77%,2.75,,
Violet Sky,77%,3,,
Violet Sky,77%,3,,
Violet Sky,77%,3.25,,
Violet Sky,77%,2.75,,
Vivra,70%,2.5,,
Vivra,70%,2.5,,
Vivra,70%,3,,
Wellington Chocolate Factory,70%,3.5,,
Wellington Chocolate Factory,70%,3.5,,
Whittakers,72%,2.5,,
Wilkie's Organic,75%,2.5,,
Wilkie's Organic,89%,2.75,,
Wilkie's Organic,75%,3.25,,
Wilkie's Organic,75%,2.75,,
Willie's Cacao,70%,4,,
Willie's Cacao,88%,3,,
Willie's Cacao,100%,2.25,,
Willie's Cacao,71%,3,,
Willie's Cacao,72%,3.5,,
Willie's Cacao,69%,3.75,,
Willie's Cacao,70%,3,,
Willie's Cacao,72%,3.25,,
Wm,74%,3,,
Wm,76%,3.5,,
Wm,75%,3.75,,
Woodblock,70%,3,,
Woodblock,70%,3.25,,
Woodblock,70%,3.5,,
Woodblock,70%,2.5,,
Woodblock,70%,3,,
Woodblock,70%,3.25,,
Woodblock,70%,4,,
Woodblock,70%,3.5,,
Xocolat,66%,3,,
Xocolla,70%,2.75,,
Xocolla,70%,2.5,,
Zak's,70%,3,,
Zak's,70%,3.25,,
Zak's,70%,3.25,,
Zak's,70%,3.25,,
Zak's,70%,3.5,,
Zak's,60%,3,,
Zart Pralinen,70%,3.5,,
Zart Pralinen,70%,2.75,,
Zart Pralinen,85%,2.75,,
Zart Pralinen,85%,3,,
Zart Pralinen,70%,3.5,,
Zart Pralinen,78%,3.5,,
Zokoko,78%,3.75,,
Zokoko,65%,3.25,,
Zokoko,68%,3.5,,
Zokoko,66%,3.5,,
Zokoko,72%,3.75,,
Zotter,80%,2.75,,
Zotter,72%,3.5,,
Zotter,65%,3.5,,
Zotter,70%,3,,
Zotter,70%,3.5,,
Zotter,62%,3.75,,
Zotter,75%,3,,
Zotter,75%,3,,
Zotter,90%,3.25,,
Zotter,70%,3.75,,
Zotter,68%,3.25,,
Zotter,58%,3.5,,
Zotter,70%,3.75,,
Zotter,65%,3,,
Zotter,65%,3.5,,
Zotter,62%,3.25,,
Zotter,65%,3,,
